feature,n,max_abs,mean_abs,max_rel,corr
auc_FOOOF,10,5.5794547247295405,1.4053109774118742,8.173149110112188,0.9943366986019557
conn_mic_Alpha,10,0.6751703875967638,0.6751703875967638,1.9999999745345356,
conn_mic_Gamma1,10,0.36418848356140343,0.36418848356140343,15.352873545505705,
cf_0_FOOOF,10,0.24419733476728211,0.04133277406964666,0.01130350716973442,0.9999486504210141
conn_mic_Theta,10,0.2207664427306672,0.2207664427306672,2.4962821317768964,
conn_mic_Beta1,10,0.21885562423698424,0.21885562423698426,1.5082288895555769,
conn_mic_ThetaAlpha,10,0.21694771101791802,0.21694771101791802,0.5869563074408221,1.0
conn_mic_Beta2,10,0.12574854686924825,0.12574854686924825,1.077843846140439,1.0
conn_wpli_Gamma1,10,0.08671666198123773,0.04125248991483245,0.41077697227156146,0.7819874197571488
cf_1_FOOOF,5,0.08504786363979022,0.0412942978979288,0.003852868301736895,0.9999985530463406
conn_pli_Gamma1,10,0.058846666699999994,0.03164933334,0.6343341701998789,0.6623957658159002
conn_ciplv_Gamma1,10,0.04327717483437128,0.025925963331783337,0.6459277586066555,0.685327063340472
conn_mim_Gamma1,10,0.0399641269302477,0.0399641269302477,0.18813137850769385,
bw_0_FOOOF,10,0.03947232799230971,0.006949128413521244,0.009483752850068401,0.9999999893863367
conn_plv_Gamma1,10,0.03539422483072904,0.01813616886426325,0.1406868569608013,0.8919350493503371
conn_gc_tr_Gamma1,10,0.030726957925346854,0.030726957925346854,0.11561271684306273,
conn_coh_Gamma1,10,0.028871382511023114,0.010450593850043127,0.07851551109621403,0.9635452963067802
offset_FOOOF,10,0.02432143010201604,0.0035424617053939345,0.02134126613864919,0.9998167726316028
exponent_FOOOF,10,0.02116221591813172,0.00282705130196268,0.009647015786460636,0.999823816947362
conn_gc_Gamma1,10,0.010990436814283577,0.010990436814283577,0.049412528883872445,
pw_0_FOOOF,10,0.009078997571450476,0.0032856661709321335,0.0049024270740015774,0.9999883195652952
pw_1_FOOOF,5,0.005951688755701845,0.0020103112954029,0.00400661700223136,0.9998606494279023
error_FOOOF,10,0.005381717820306164,0.0009682682270975324,0.009135770226161466,0.999973431232578
bw_1_FOOOF,5,0.0034101502844841036,0.000710271381427674,0.0002887216969744851,0.9999997377555419
r_squared_FOOOF,10,0.0027811712645443576,0.0005010621058086251,0.004640332375946332,0.999990333968025
Theta_FOOOF,10,0.0019653398083428197,0.00037074674091418984,0.014247682137517717,0.9999577914889857
Delta_FOOOF,10,0.001664209565717334,0.00031571965103258977,0.14983845628405892,0.9999875418258214
Alpha_FOOOF,10,0.001347925813541595,0.0003013342939048397,0.0035269400903801414,0.9999743999093379
Beta1_FOOOF,10,0.001001755344922417,0.00026682374292651134,0.004476124111273823,0.9999728663344524
Beta2_FOOOF,10,0.0007850830978811119,0.00019031345076789274,0.005849287347104606,0.9999802894592231
ThetaAlpha_FOOOF,10,0.0006161817490283605,0.00020183935660637726,0.005355164249466102,0.9999839035711728
higuchi_nonlinear,10,0.00031994937065560336,0.00015644501993163917,0.00030331659488749054,0.9998467331097213
Gamma1_FOOOF,10,0.0002787212733737221,9.729383423153493e-05,0.008045518234783963,0.9999964031498897
intercept_Irasa,10,1.3367413420617424e-06,5.896444223996156e-07,4.1119615113180573e-07,0.9999999999990989
slope_Irasa,10,6.35226495404595e-07,2.9897089963704105e-07,2.4963407490108254e-07,0.9999999999919029
auc_Irasa,10,5.411463375182279e-07,2.422927221967797e-07,8.420798597179097e-08,0.9999999999999993
sample_entropy_nonlinear,10,1.1060550490771259e-07,3.7709736295382656e-08,1.0710329757905707e-06,0.9999999999985901
Theta_Irasa,10,9.525068986326879e-08,2.3586576971146993e-08,2.3581058346033273e-06,0.9999999999995764
rsquared_Irasa,10,6.643192684840926e-08,4.4878092297917505e-08,8.27259203905416e-08,0.9999999999998757
Delta_Irasa,10,6.583177436514376e-08,2.133686253860678e-08,6.11481061126644e-07,0.9999999999999742
Alpha_Irasa,10,6.00381396820282e-08,2.546823584387292e-08,1.687216882181259e-07,0.9999999999999902
Beta1_Irasa,10,4.480815901652946e-08,2.1080823649211045e-08,1.9544659255046288e-07,0.9999999999999606
Gamma1_Irasa,10,4.049366111869013e-08,1.7588073815411055e-08,1.7740909672176998e-07,0.9999999999999158
Beta2_Irasa,10,3.810761586842126e-08,2.0540666388624286e-08,7.656500455426566e-07,0.9999999999991449
ThetaAlpha_Irasa,10,3.4161810984201235e-08,7.093723184943903e-09,1.0985707038595386e-06,0.9999999999999386
Theta_PSD,10,2.0529098476718133e-08,5.633238336910651e-09,1.1436954283890944e-07,0.999999999999984
conn_gc_tr_Theta,10,1.882646216699868e-08,1.882646216699868e-08,7.167880099491761e-08,1.0
katz_nonlinear,10,1.7894586923361544e-08,7.301351012678481e-09,9.10484310919529e-09,0.9999999999999976
conn_gc_ThetaAlpha,10,1.6026634352961366e-08,1.6026634352961366e-08,7.282065796648932e-08,
Alpha_PSD,10,1.4428204936356437e-08,4.768612667238603e-09,8.270344373376855e-08,0.9999999999999947
Beta2_PSD,10,9.60219896650738e-09,5.267705774358866e-09,1.571479852630614e-07,0.9999999999999626
conn_wpli_Beta1,10,9.59657583954332e-09,4.0603117978932344e-09,4.580630295459418e-08,0.9999999999999979
ThetaAlpha_PSD,10,9.446152443581823e-09,3.790889670229891e-09,8.299827236702274e-08,0.9999999999999903
Beta1_PSD,10,9.368400083475947e-09,2.874283967085889e-09,6.261476817749033e-08,0.9999999999999947
conn_gc_tr_Beta1,10,8.877936691353838e-09,8.877936691353838e-09,4.985655913643316e-08,
conn_mim_Beta2,10,8.56848497710061e-09,8.56848497710061e-09,8.584893134700248e-08,
