Delta_PSD,Theta_PSD,ThetaAlpha_PSD,Alpha_PSD,Beta1_PSD,Beta2_PSD,Gamma1_PSD,Delta_FOOOF,Theta_FOOOF,ThetaAlpha_FOOOF,Alpha_FOOOF,Beta1_FOOOF,Beta2_FOOOF,Gamma1_FOOOF,offset_FOOOF,exponent_FOOOF,cf_0_FOOOF,pw_0_FOOOF,bw_0_FOOOF,cf_1_FOOOF,pw_1_FOOOF,bw_1_FOOOF,error_FOOOF,r_squared_FOOOF,auc_FOOOF,oscspectraledge_FOOOF,Delta_Irasa,Theta_Irasa,ThetaAlpha_Irasa,Alpha_Irasa,Beta1_Irasa,Beta2_Irasa,Gamma1_Irasa,intercept_Irasa,slope_Irasa,rsquared_Irasa,auc_Irasa,oscspectraledge_Irasa,perm_entropy_nonlinear,svd_entropy_nonlinear,sample_entropy_nonlinear,dfa_nonlinear,petrosian_nonlinear,katz_nonlinear,higuchi_nonlinear,lziv_nonlinear,ACW,conn_mic_Theta,conn_mic_ThetaAlpha,conn_mic_Alpha,conn_mic_Beta1,conn_mic_Beta2,conn_mic_Gamma1,conn_mim_Theta,conn_mim_ThetaAlpha,conn_mim_Alpha,conn_mim_Beta1,conn_mim_Beta2,conn_mim_Gamma1,conn_gc_Theta,conn_gc_ThetaAlpha,conn_gc_Alpha,conn_gc_Beta1,conn_gc_Beta2,conn_gc_Gamma1,conn_gc_tr_Theta,conn_gc_tr_ThetaAlpha,conn_gc_tr_Alpha,conn_gc_tr_Beta1,conn_gc_tr_Beta2,conn_gc_tr_Gamma1,conn_coh_Theta,conn_coh_ThetaAlpha,conn_coh_Alpha,conn_coh_Beta1,conn_coh_Beta2,conn_coh_Gamma1,conn_plv_Theta,conn_plv_ThetaAlpha,conn_plv_Alpha,conn_plv_Beta1,conn_plv_Beta2,conn_plv_Gamma1,conn_ciplv_Theta,conn_ciplv_ThetaAlpha,conn_ciplv_Alpha,conn_ciplv_Beta1,conn_ciplv_Beta2,conn_ciplv_Gamma1,conn_pli_Theta,conn_pli_ThetaAlpha,conn_pli_Alpha,conn_pli_Beta1,conn_pli_Beta2,conn_pli_Gamma1,conn_wpli_Theta,conn_wpli_ThetaAlpha,conn_wpli_Alpha,conn_wpli_Beta1,conn_wpli_Beta2,conn_wpli_Gamma1,Chan,Epoch,filename,subjid,sessn,condn,bin_idx,bin_start_s,bin_end_s,mode
0.5929790955,0.1155229160,0.0998052526,0.1299296271,0.0714821488,0.0560294494,0.0208933879,0.0000000000,0.0108955320,0.1469760301,0.4369143857,0.2523466490,0.2160110037,0.0852709064,2.0345007772,2.8194084515,32.8081383965,1.5937018042,12.0000000000,,,,0.4743343082,0.6885246539,-64.1392033452,12.0000000000,0.3017290684,0.0056348688,0.0495883966,0.3937671849,0.1274311778,0.0814928386,0.1252245960,4.6057561011,-2.6689109450,0.8257839049,-17.6781084613,0.0000000000,0.5268266254,0.0565993119,0.0349016155,1.5097990872,1.0022655034,1.5995432218,1.0470360527,0.0425428696,1.0910000000,-0.3092045403,-0.1526670427,0.3375851895,0.0737479249,-0.2424153046,-0.3404672901,0.1426107573,0.1886793187,0.1500205679,0.1463186398,0.0998088803,0.1724625679,0.2841565994,0.2200836086,0.1523565716,0.1633617291,0.2756719694,0.2334125039,0.2626503688,0.2050920984,0.1509930557,0.1780695918,0.2921124769,0.2350479392,0.4776771576,0.5107403614,0.5398162019,0.5288287878,0.4310336626,0.3741991566,0.4067219559,0.4343267422,0.4538875622,0.4098672825,0.3543601323,0.3126101447,0.0590178418,0.0799095842,0.0899029855,0.0678655196,0.0525259375,0.0514334811,0.0766933333,0.1092177778,0.1149933333,0.0996000000,0.0652666667,0.0589333333,0.1475356705,0.2234855815,0.2446795545,0.2305469286,0.1409106362,0.1612306665,Fz,1,AKNLTP014_REMED1_RCB,AKNLTP014,REMED1,RCB,0,0.000,15.000,full
0.7146617829,0.0859549669,0.0680854684,0.0522902678,0.0579767773,0.0444007389,0.0295810355,0.0000000000,0.1686762764,0.1971730126,0.1871446671,0.2577094726,0.2040126563,0.1465049645,1.6168059874,2.5638469669,18.7955674821,0.9340297453,12.0000000000,36.2958397695,1.4795131691,12.0000000000,0.2562378032,0.8614257803,-23.6154930626,13.0000000000,0.4166832299,0.1266949807,0.0988236356,0.0794479801,0.1201259239,0.0476283338,0.2000338022,4.2634969631,-2.4376224525,0.8387144499,-24.2549821434,0.0000000000,0.5392043352,0.0530253925,0.0451720486,1.5208327021,1.0025269303,1.7249821714,1.0609859166,0.0268205048,0.6720000000,-0.3092045403,-0.1526670427,0.3375851895,0.0737479249,-0.2424153046,-0.3404672901,0.1426107573,0.1886793187,0.1500205679,0.1463186398,0.0998088803,0.1724625679,0.2841565994,0.2200836086,0.1523565716,0.1633617291,0.2756719694,0.2334125039,0.2626503688,0.2050920984,0.1509930557,0.1780695918,0.2921124769,0.2350479392,0.3967268218,0.4422730925,0.4591981404,0.4366936385,0.3851116315,0.4681819703,0.3283271337,0.3721039883,0.3686085063,0.3216946501,0.3113101711,0.3297947098,0.0939057636,0.1094199342,0.0912875575,0.0527007292,0.0604508813,0.0650591075,0.1256746667,0.1479511111,0.1039000000,0.0736844444,0.0712355556,0.0766266667,0.2081473409,0.2612701387,0.2270035663,0.1986330683,0.1351469681,0.2221894100,F3,1,AKNLTP014_REMED1_RCB,AKNLTP014,REMED1,RCB,0,0.000,15.000,full
0.6662524681,0.0806027004,0.0480743380,0.0629239026,0.0808484528,0.0520904332,0.0308437359,0.0042043050,0.0853772442,0.1015522235,0.2119485504,0.3126008952,0.2038515200,0.1247965011,1.3908691886,2.8920521706,12.0879983808,1.2154416271,4.1226276989,21.9888609698,1.1962267992,12.0000000000,0.1741977964,0.9204965389,-12.2725737226,12.0000000000,0.2934341632,0.0238935396,0.0316693246,0.1545135204,0.2414098253,0.0512673219,0.1838620956,3.9303754129,-2.6565548324,0.8116057603,-9.7294991702,1.0000000000,0.5318196897,0.0710901501,0.0667194045,1.4670756487,1.0023690468,1.7249358626,1.0561146887,0.0730627544,0.4870000000,-0.3092045403,-0.1526670427,0.3375851895,0.0737479249,-0.2424153046,-0.3404672901,0.1426107573,0.1886793187,0.1500205679,0.1463186398,0.0998088803,0.1724625679,0.2841565994,0.2200836086,0.1523565716,0.1633617291,0.2756719694,0.2334125039,0.2626503688,0.2050920984,0.1509930557,0.1780695918,0.2921124769,0.2350479392,0.2190175539,0.2409835571,0.3569943561,0.3131103849,0.2940243478,0.4109357643,0.2036977166,0.2416607055,0.3297899086,0.2617026140,0.2550077971,0.3175416031,0.0472092630,0.0887523164,0.1528096271,0.0739709483,0.0421182865,0.0751837511,0.0613680000,0.1111688889,0.1804333333,0.0987377778,0.0562311111,0.1059333333,0.1174795112,0.2190814797,0.3599697216,0.2590614686,0.1401581130,0.2123260566,C3,1,AKNLTP014_REMED1_RCB,AKNLTP014,REMED1,RCB,0,0.000,15.000,full
0.4030754827,0.1342593608,0.1200704261,0.1744571384,0.1606310940,0.0985038953,0.0396673856,0.0000000000,0.0369626938,0.1047225990,0.3442921621,0.3630256277,0.2252790034,0.0945365210,1.5659466829,2.7944031113,33.2402300143,2.0496614689,12.0000000000,,,,0.5866858276,0.5500070742,-20.9115484987,12.0000000000,0.1127755637,0.0167847102,0.0083923551,0.3603206354,0.3719725248,0.0503497421,0.1659942191,3.4667229965,-2.5901870960,0.7384787066,-4.4726081969,11.0000000000,0.5319566466,0.0793589498,0.0950686130,1.3418513530,1.0023717705,1.8788171026,1.0535524316,0.0647391494,0.9520000000,-0.3092045403,-0.1526670427,0.3375851895,0.0737479249,-0.2424153046,-0.3404672901,0.1426107573,0.1886793187,0.1500205679,0.1463186398,0.0998088803,0.1724625679,0.2841565994,0.2200836086,0.1523565716,0.1633617291,0.2756719694,0.2334125039,0.2626503688,0.2050920984,0.1509930557,0.1780695918,0.2921124769,0.2350479392,0.4422935435,0.4400147077,0.4325561118,0.4286346068,0.3765535628,0.3941236403,0.3947183768,0.3834421399,0.3545355764,0.3515631800,0.3028924996,0.2878145862,0.1103592993,0.1618270351,0.1522755885,0.0855435265,0.0599878549,0.0237228484,0.1337706667,0.2015955556,0.1850733333,0.1105155556,0.0727422222,0.0281733333,0.2526198606,0.3630791878,0.3595149794,0.3121852125,0.1436139211,0.1243227807,P3,1,AKNLTP014_REMED1_RCB,AKNLTP014,REMED1,RCB,0,0.000,15.000,full
0.5854902994,0.1114339424,0.0850234046,0.1110176622,0.1159813350,0.0582487427,0.0221578614,0.0273136845,0.1431308366,0.1750734708,0.2930180706,0.3297481304,0.1635247998,0.0634929245,1.1010924299,2.6621855190,16.2820780127,1.2001436863,12.0000000000,33.3381745823,1.3157162953,11.8077918488,0.1869521324,0.9330953536,-5.0751942333,12.0000000000,0.4106326866,0.0224615795,0.0029828486,0.1943674281,0.2843688383,0.0217459038,0.1159981798,3.7823733809,-2.6870968534,0.7988610647,-6.7050327821,0.0000000000,0.5236213494,0.0838795599,0.0686721669,1.4137394215,1.0022000658,1.6837967707,1.0458262069,0.0591900795,1.1290000000,-0.3092045403,-0.1526670427,0.3375851895,0.0737479249,-0.2424153046,-0.3404672901,0.1426107573,0.1886793187,0.1500205679,0.1463186398,0.0998088803,0.1724625679,0.2841565994,0.2200836086,0.1523565716,0.1633617291,0.2756719694,0.2334125039,0.2626503688,0.2050920984,0.1509930557,0.1780695918,0.2921124769,0.2350479392,0.3360054645,0.3507345496,0.3040968278,0.3191236839,0.3140810547,0.3278845020,0.2851408757,0.2923002945,0.2428110143,0.2491678519,0.2636236025,0.2161873770,0.0577404023,0.0608891068,0.0551359917,0.0502506505,0.0665197040,0.0420975270,0.0727306667,0.0836666667,0.0744733333,0.0710400000,0.0763911111,0.0569200000,0.1286113451,0.1596564520,0.1212701051,0.1172421087,0.1309817974,0.2605441847,Pz,1,AKNLTP014_REMED1_RCB,AKNLTP014,REMED1,RCB,0,0.000,15.000,full
0.2820410312,0.2011998060,0.1832698520,0.2472563664,0.1455490597,0.0893255569,0.0240381937,0.0112296156,0.2048685346,0.2433600939,0.3808320316,0.2227979696,0.1334335065,0.0343643266,1.1153218293,2.1724919033,21.3594811608,1.8428603448,12.0000000000,,,,0.5837002848,0.6021285971,-0.7325560083,10.0000000000,0.1057710761,0.0852469209,0.0839493382,0.5213319207,0.1449411009,0.0249977615,0.0895131270,4.5030958772,-2.6645902439,0.7255340450,-10.2476135288,10.0000000000,0.5236078716,0.0776471128,0.1112576552,1.3133711253,1.0022000658,1.9054041305,1.0436012258,0.0823112043,0.5770000000,-0.3092045403,-0.1526670427,0.3375851895,0.0737479249,-0.2424153046,-0.3404672901,0.1426107573,0.1886793187,0.1500205679,0.1463186398,0.0998088803,0.1724625679,0.2841565994,0.2200836086,0.1523565716,0.1633617291,0.2756719694,0.2334125039,0.2626503688,0.2050920984,0.1509930557,0.1780695918,0.2921124769,0.2350479392,0.4717439630,0.5186138994,0.5357409453,0.5054631151,0.3806279053,0.2951225045,0.3994132820,0.4348936717,0.4363582125,0.3763925784,0.3107795773,0.2672428689,0.0962366533,0.1250706379,0.1183516159,0.0975574343,0.0631753491,0.0422709890,0.1171386667,0.1743333333,0.1571866667,0.1336222222,0.0708666667,0.0589466667,0.2453916427,0.3609610089,0.3662319262,0.3198395988,0.1154041829,0.0799810444,O1,1,AKNLTP014_REMED1_RCB,AKNLTP014,REMED1,RCB,0,0.000,15.000,full
0.3924171018,0.1179669702,0.1269031227,0.2427464754,0.1539862787,0.0926838510,0.0342058482,0.1840661615,0.0958903484,0.1547431659,0.3712545220,0.2313184842,0.1304948825,0.0469051101,0.4934930927,1.7462812648,18.6438962026,1.6484983408,12.0000000000,,,,0.5230982350,0.5725101828,4.1379837785,10.0000000000,0.1076594817,0.0000000000,0.0454386394,0.5761910462,0.2613387387,0.0385189492,0.1187469938,3.7264241389,-2.5099723488,0.7402516233,-6.4263071589,10.0000000000,0.5234009518,0.0528911346,0.0857163177,1.3222087935,1.0021946111,1.8870392782,1.0431325908,0.0758372893,0.8470000000,-0.3092045403,-0.1526670427,0.3375851895,0.0737479249,-0.2424153046,-0.3404672901,0.1426107573,0.1886793187,0.1500205679,0.1463186398,0.0998088803,0.1724625679,0.2841565994,0.2200836086,0.1523565716,0.1633617291,0.2756719694,0.2334125039,0.2626503688,0.2050920984,0.1509930557,0.1780695918,0.2921124769,0.2350479392,0.4599738675,0.4954560513,0.5071927030,0.4976152770,0.4043360888,0.3965870365,0.3809931652,0.4349849652,0.4457051059,0.3730303254,0.3344351648,0.3143314227,0.0660511225,0.1246159122,0.1546329063,0.0910758847,0.0578994783,0.0466080364,0.0899760000,0.1595555556,0.1747200000,0.1222666667,0.0750755556,0.0645733333,0.1784184879,0.2972126188,0.3723120444,0.3146738865,0.1316046535,0.1470870433,O2,1,AKNLTP014_REMED1_RCB,AKNLTP014,REMED1,RCB,0,0.000,15.000,full
0.4583405503,0.1106631215,0.0900225368,0.1290872359,0.1485597464,0.1022328960,0.0499249506,0.0001292745,0.1156100651,0.1434493739,0.2554067809,0.3127145335,0.2165146545,0.1075732656,0.8941816105,2.6368032180,12.0230414106,1.2777553629,6.3209434431,22.8720568985,1.3754762154,12.0000000000,0.1522786384,0.9326971354,-2.9436615116,12.0000000000,0.1632134245,0.0381585735,0.0192751356,0.2092169838,0.2864606627,0.0705726562,0.2257079176,3.2057992981,-2.5093184137,0.7429323810,-4.2324348064,11.0000000000,0.5302788940,0.1107236046,0.1033951563,1.3395068237,1.0023363577,1.9653921046,1.0501393826,0.0739875994,0.5950000000,-0.3092045403,-0.1526670427,0.3375851895,0.0737479249,-0.2424153046,-0.3404672901,0.1426107573,0.1886793187,0.1500205679,0.1463186398,0.0998088803,0.1724625679,0.2841565994,0.2200836086,0.1523565716,0.1633617291,0.2756719694,0.2334125039,0.2626503688,0.2050920984,0.1509930557,0.1780695918,0.2921124769,0.2350479392,0.3249395168,0.3747062036,0.4048394152,0.3983893986,0.3622279436,0.4506279618,0.2674546991,0.3290407951,0.3492103490,0.3169497988,0.2925568137,0.3454281060,0.0768829292,0.1388927396,0.1496891254,0.1009572679,0.0537787279,0.0565938084,0.0951360000,0.1780755556,0.1818133333,0.1432533333,0.0678755556,0.0809466667,0.1985063576,0.3196401059,0.3367121890,0.3469483663,0.1287098071,0.1522464518,P4,1,AKNLTP014_REMED1_RCB,AKNLTP014,REMED1,RCB,0,0.000,15.000,full
0.3773625721,0.1811860831,0.1138114440,0.1379697347,0.1496196655,0.1104960060,0.0569084245,0.0000000000,0.0434832223,0.0851250628,0.2639225869,0.3635177310,0.2772386006,0.1527906044,1.3481194149,2.5721110345,32.7634207517,1.7133869841,12.0000000000,,,,0.5048854824,0.5974332368,-14.0871874072,14.0000000000,0.1729153130,0.0689433274,0.0000000000,0.2417184664,0.2718460324,0.0497715463,0.2346905728,3.2508618771,-2.5446311936,0.7258551433,-3.7549585469,12.0000000000,0.5326875810,0.1264715755,0.1195930164,1.3050904346,1.0023881117,1.9383124014,1.0550763136,0.1017329491,0.6820000000,-0.3092045403,-0.1526670427,0.3375851895,0.0737479249,-0.2424153046,-0.3404672901,0.1426107573,0.1886793187,0.1500205679,0.1463186398,0.0998088803,0.1724625679,0.2841565994,0.2200836086,0.1523565716,0.1633617291,0.2756719694,0.2334125039,0.2626503688,0.2050920984,0.1509930557,0.1780695918,0.2921124769,0.2350479392,0.3057010988,0.3272878450,0.4114628250,0.3993135573,0.3404965789,0.4195463919,0.2740186035,0.2851988653,0.3310075249,0.3010092169,0.2709740597,0.2846176107,0.0794067415,0.1284065301,0.1286973476,0.0730640664,0.0410367902,0.0721514247,0.0941466667,0.1581777778,0.1589933333,0.0939155556,0.0553288889,0.0972533333,0.1723479904,0.2635084825,0.3312373365,0.2245523162,0.0850152805,0.2392726530,C4,1,AKNLTP014_REMED1_RCB,AKNLTP014,REMED1,RCB,0,0.000,15.000,full
0.4343508408,0.1764490581,0.1119069533,0.1583339861,0.1186721613,0.0776546638,0.0428501092,0.0443307020,0.2063645050,0.1618325383,0.2962512925,0.2307183623,0.1511311286,0.0871911831,1.2363122326,2.4706264117,16.8741080601,1.1123256879,12.0000000000,35.8316557536,1.5028293297,12.0000000000,0.2976800602,0.7995747303,-7.6149900819,11.0000000000,0.0569464719,0.0477956544,0.0147194643,0.4246704711,0.2611279245,0.0599069314,0.2171978355,4.3174157286,-2.6626227330,0.7614252853,-10.9586478530,11.0000000000,0.5336123072,0.0635577537,0.0634416715,1.4034772868,1.0024071739,1.8259299076,1.0545164033,0.0462422496,0.9350000000,-0.3092045403,-0.1526670427,0.3375851895,0.0737479249,-0.2424153046,-0.3404672901,0.1426107573,0.1886793187,0.1500205679,0.1463186398,0.0998088803,0.1724625679,0.2841565994,0.2200836086,0.1523565716,0.1633617291,0.2756719694,0.2334125039,0.2626503688,0.2050920984,0.1509930557,0.1780695918,0.2921124769,0.2350479392,0.4463631702,0.4741445616,0.5152654859,0.5015843660,0.3990092078,0.3887725659,0.4086062803,0.4195947632,0.4307255104,0.3915014636,0.3260886297,0.3016607108,0.0729227195,0.1164616181,0.1210846506,0.0676036681,0.0457736284,0.0304555751,0.0966880000,0.1518488889,0.1539200000,0.0977288889,0.0577066667,0.0413200000,0.1420457093,0.2168771980,0.2694658807,0.2095034015,0.0958896063,0.1603447373,F4,1,AKNLTP014_REMED1_RCB,AKNLTP014,REMED1,RCB,0,0.000,15.000,full
